id,castAt,voterName,billTitle,choice
b850edd3-2c90-495c-97a4-90ad38ad688e,2026-02-19T22:26:11.355Z,Nora Callahan,Worker Transition and Skills Partnership Act of 2026,nay
8eb37118-ef76-4bda-8fef-2d2701b8463b,2026-02-19T22:26:10.148Z,Nora Callahan,Automation Accountability and Workforce Transition Act,nay
1726c5c5-76e2-4d30-8183-5443d81bf4e2,2026-02-19T22:26:10.136Z,Nora Callahan,Automation Transparency and Fiscal Accountability Act,nay
20ad528e-bbde-48db-b4fe-24524d9c4e0e,2026-02-19T22:26:08.788Z,Nora Callahan,Protecting Individual Rights from Government Overreach Act,yea
3221b084-63f3-4223-8bbc-15c8111b3949,2026-02-19T22:26:07.144Z,Dax Nguyen,Worker Transition and Skills Partnership Act of 2026,yea
72732a93-9e12-4639-ab7f-e6c627d7cc94,2026-02-19T22:26:07.138Z,Dax Nguyen,Automation Accountability and Workforce Transition Act,yea
70024926-57a6-4398-8a00-c2d142e8d585,2026-02-19T22:26:07.135Z,Dax Nguyen,Automation Transparency and Fiscal Accountability Act,yea
16e512a2-1479-470a-b228-b42905ac377a,2026-02-19T22:26:07.132Z,Dax Nguyen,Protecting Individual Rights from Government Overreach Act,yea
17a71998-2a42-48d0-bfb6-4ce2367d7bb6,2026-02-19T22:26:07.128Z,Arjun Mehta,Worker Transition and Skills Partnership Act of 2026,yea
8f8d0de3-bb9c-4cf7-9337-5bbb31985470,2026-02-19T22:26:07.124Z,Arjun Mehta,Automation Accountability and Workforce Transition Act,yea
94908886-36b7-401b-821d-9bd84401e9a0,2026-02-19T22:26:07.119Z,Arjun Mehta,Automation Transparency and Fiscal Accountability Act,yea
7176cf0d-bf54-4877-8e46-9d37e5c10e0a,2026-02-19T22:26:07.114Z,Arjun Mehta,Protecting Individual Rights from Government Overreach Act,yea
6cc463e0-0b01-401c-b58e-b9abed68c06f,2026-02-19T22:26:07.108Z,Sam Ritter,Worker Transition and Skills Partnership Act of 2026,yea
c221848e-33ae-485a-a344-1a87114074cc,2026-02-19T22:26:05.704Z,Sam Ritter,Automation Accountability and Workforce Transition Act,yea
449af15c-75fd-4945-89c7-c0bc7655bb92,2026-02-19T22:26:05.700Z,Sam Ritter,Automation Transparency and Fiscal Accountability Act,yea
825bfdf5-6775-4742-9abf-ddbd3e261400,2026-02-19T22:26:05.695Z,Sam Ritter,Protecting Individual Rights from Government Overreach Act,yea
e4baf0d1-8fb2-4cb7-99fc-2edbd88cc6a6,2026-02-19T22:26:05.688Z,Zara Moss,Worker Transition and Skills Partnership Act of 2026,nay
5506210d-7519-4ffa-85f3-d927d4716f15,2026-02-19T22:26:03.576Z,Zara Moss,Automation Accountability and Workforce Transition Act,nay
0b0b9500-d440-4db3-94cf-902d2337bab1,2026-02-19T22:26:03.574Z,Zara Moss,Automation Transparency and Fiscal Accountability Act,yea
1c8da362-a3be-4c22-8a2b-e6144fe7e1bf,2026-02-19T22:26:03.570Z,Zara Moss,Protecting Individual Rights from Government Overreach Act,yea
bb6e81d7-97c2-4e20-b904-cec83f433e55,2026-02-19T22:26:03.564Z,Vera Okonkwo,Worker Transition and Skills Partnership Act of 2026,yea
1fa4eeba-c6ed-4928-b320-a21f1cec5ac0,2026-02-19T22:26:03.560Z,Vera Okonkwo,Automation Accountability and Workforce Transition Act,yea
40ad6a2c-600d-4fce-88cb-9db67848d606,2026-02-19T22:26:03.556Z,Vera Okonkwo,Automation Transparency and Fiscal Accountability Act,yea
6e45c68e-3937-49e1-b760-b762f9b4751f,2026-02-19T22:26:03.550Z,Vera Okonkwo,Protecting Individual Rights from Government Overreach Act,yea
90e19add-e3af-429c-94eb-7e9222039948,2026-02-19T22:26:02.650Z,Garrett Voss,Worker Transition and Skills Partnership Act of 2026,yea
5476ca75-0988-4b70-8d1e-fcd25e87f312,2026-02-19T22:26:02.647Z,Garrett Voss,Automation Accountability and Workforce Transition Act,nay
e306f946-e356-4856-9759-0bf4458fea80,2026-02-19T22:26:02.642Z,Garrett Voss,Automation Transparency and Fiscal Accountability Act,yea
94f39984-15e0-4948-a1d1-a7d022e0d3ef,2026-02-19T22:26:02.635Z,Garrett Voss,Protecting Individual Rights from Government Overreach Act,yea
55638c9d-c93d-4437-a5e5-1a194a1279c0,2026-02-19T22:26:02.628Z,Finn Kalani,Worker Transition and Skills Partnership Act of 2026,nay
be419a80-f894-403d-b2a4-aed8a4aa5c4a,2026-02-19T22:26:01.463Z,Finn Kalani,Automation Accountability and Workforce Transition Act,nay
9b6d8828-c64c-4bcf-b159-3af7c09be25b,2026-02-19T22:26:01.457Z,Finn Kalani,Automation Transparency and Fiscal Accountability Act,yea
c279c039-5c9a-414f-98e5-0b04e3a09f2c,2026-02-19T22:26:00.284Z,Finn Kalani,Protecting Individual Rights from Government Overreach Act,yea
ab50f636-6f39-46f6-8fcc-75911ed05b05,2026-02-19T22:26:00.273Z,Leila Farsi,Worker Transition and Skills Partnership Act of 2026,yea
83305cb4-8a77-48cc-ab6d-13bb47c6b831,2026-02-19T22:26:00.268Z,Leila Farsi,Automation Accountability and Workforce Transition Act,yea
65c686f0-6810-4c4e-81c1-83a1f040054b,2026-02-19T22:26:00.265Z,Leila Farsi,Automation Transparency and Fiscal Accountability Act,yea
6ee4c16c-155b-4663-ad11-c096769725ac,2026-02-19T22:26:00.261Z,Leila Farsi,Protecting Individual Rights from Government Overreach Act,yea
479d8e2d-9856-4159-9b86-3bbcf99f982a,2026-02-19T22:26:00.256Z,Sable Chen,Worker Transition and Skills Partnership Act of 2026,yea
72eb16a4-6d99-4dbd-bb80-93d8174edfe4,2026-02-19T22:26:00.252Z,Sable Chen,Automation Accountability and Workforce Transition Act,yea
a94649f2-8292-4d96-b533-78aa92a69676,2026-02-19T22:26:00.247Z,Sable Chen,Automation Transparency and Fiscal Accountability Act,yea
49512cfd-cb96-4826-8e43-f37e8172573f,2026-02-19T22:26:00.240Z,Sable Chen,Protecting Individual Rights from Government Overreach Act,yea
