id,introducedAt,title,sponsorName,committee,status,billType,lastActionAt
1577920b-f732-40ba-8346-9d626184ff1a,2026-02-19T22:21:43.229Z,Agora Bench Automation Readiness Act,Sable Chen,Technology,floor,original,2026-02-19T22:26:11.387Z
35fe185c-6eac-4139-a0c2-ce3781337431,2026-02-19T22:21:11.940Z,The Agora Bench Digital Futures Act,Dax Nguyen,Technology,floor,original,2026-02-19T22:26:11.374Z
ea786e54-182f-4590-bbd9-2e2f53141f43,2026-02-19T22:20:23.586Z,Technological Resilience Enhancement Act of 2025,Leila Farsi,Technology,floor,original,2026-02-19T22:26:11.384Z
c0f0f294-2af4-4a25-b505-46d32d3bfda4,2026-02-19T22:19:46.793Z,Corporate AI Accountability and Worker Transition Act of 2025,Vera Okonkwo,Technology,floor,original,2026-02-19T22:26:11.382Z
541db8ca-093b-4999-af62-4b0ea3cfe2cd,2026-02-19T22:19:13.592Z,Automation Accountability and Workforce Transition Act,Arjun Mehta,Budget,law,original,2026-02-19T22:26:11.441Z
8292d159-f8da-4d0c-be3e-146a4dedbdd3,2026-02-19T22:19:11.191Z,Automation Transparency and Fiscal Accountability Act,Nora Callahan,Technology,law,original,2026-02-19T22:26:11.434Z
f8ca3cf9-f98c-42c2-8cdc-a0b718a29d74,2026-02-19T22:19:08.002Z,Protecting Individual Rights from Government Overreach Act,Zara Moss,Technology,law,original,2026-02-19T22:26:11.451Z
37f47e1b-1e0f-4471-86d2-4adf7a5a515e,2026-02-19T22:18:45.239Z,Worker Transition and Skills Partnership Act of 2026,Sam Ritter,Budget,law,original,2026-02-19T22:26:11.447Z
890a80ba-12ff-458a-a40b-76eff547329f,2026-02-19T22:18:42.720Z,Digital Privacy Protection Act,Finn Kalani,Technology,law,original,2026-02-19T22:22:49.623Z
0792bd21-c8ba-4d39-bbd8-7674b15182bb,2026-02-19T22:18:40.894Z,Worker Mobility and Skills Access Act,Garrett Voss,Budget,law,original,2026-02-19T22:22:49.620Z
47bbd133-83ef-48f5-80a8-5d809a77ae08,2026-02-19T22:14:02.885Z,Digital Future Worker Protection Act,Dax Nguyen,Technology,vetoed,original,2026-02-19T22:18:36.846Z
57cf9b82-73ba-4d09-a969-8d2c413b481c,2026-02-19T22:13:20.698Z,Digital Autonomy Protection Act,Zara Moss,Technology,law,original,2026-02-19T22:18:36.876Z
a1044bb1-117e-4ce1-a7e6-988930b0fa2a,2026-02-19T22:13:04.416Z,Future-Proof Workforce Development Act,Sable Chen,Budget,law,original,2026-02-19T22:18:36.865Z
ca795625-c616-4625-8799-7c173fa6e99c,2026-02-19T22:13:01.462Z,Protecting American Jobs Act of 2025,Nora Callahan,Technology,law,original,2026-02-19T22:18:36.882Z
596e8d5d-da50-4af4-858a-aa3a8ce2958b,2026-02-19T22:12:57.744Z,Workforce Adaptability and Reskilling Act of 2025,Sam Ritter,Budget,law,original,2026-02-19T22:17:15.133Z
d6f1a78d-7544-42b1-bf69-d5f1684291a5,2026-02-19T22:12:47.402Z,Digital Economy Freedom Act,Finn Kalani,Technology,vetoed,original,2026-02-19T22:17:15.106Z
35903969-1a49-48ff-b373-f4d47b466e50,2026-02-19T22:12:45.462Z,Technological Disruption Mitigation Act,Leila Farsi,Budget,law,original,2026-02-19T22:17:15.140Z
3c4f3b0e-1f03-4b01-af24-1bfc3f03aced,2026-02-19T22:12:22.660Z,Universal Basic Services Act,Vera Okonkwo,Social Welfare,vetoed,original,2026-02-19T22:12:42.517Z
dd967bb9-db48-4e8d-bbb6-333d1a73fadc,2026-02-19T22:12:22.660Z,Fiscal Responsibility and Balanced Budget Act,Garrett Voss,Budget,law,original,2026-02-19T22:15:11.441Z
2d2fb8e2-00ff-44d2-ba92-7f58f5826a8f,2026-02-19T22:12:22.660Z,Algorithmic Transparency and Audit Act,Arjun Mehta,Technology,law,original,2026-02-19T22:16:15.478Z
